name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер / Ассистент инженера по предпродажной подготовке / Junior pre-sale engineer,50000,,RUR,Москва,2022-12-20T08:46:19+0300
Инженер по обслуживанию производственного и технологического оборудования,50000,,RUR,Киров (Кировская область),2022-12-20T08:04:32+0300
Инженер-наладчик технических средств охраны,75000,,RUR,Пермь,2022-12-20T08:09:52+0300
Шлифовщик 5-6 разряда,60000,,RUR,Челябинск,2022-12-20T08:33:02+0300
Руководитель отдела программирования 1С,200000,250000,RUR,Краснодар,2022-12-20T08:25:48+0300
Мастер слаботочных сетей,200000,240000,KZT,Караганда,2022-12-20T08:55:21+0300
Разработчик (программист) Middle PHP,80000,,RUR,Челябинск,2022-12-20T08:09:49+0300
Инженер по подъёмным сооружениям (ГПМ),70000,110000,RUR,Тюмень,2022-12-20T08:55:52+0300
Senior Frontend Developer (VueJS),4000,,USD,Армения,2022-12-20T08:36:45+0300
Инженер-электроник,67000,,RUR,Лыткарино,2022-12-20T08:32:23+0300
Специалист личной поддержки Tele2,,40000,RUR,Саранск,2022-12-20T08:20:15+0300
Фрезеровщик (инструментальное производство),45000,,RUR,Омск,2022-12-20T08:20:21+0300
Middle PHP Developer / Веб-программист,60000,,RUR,Челябинск,2022-12-20T08:32:27+0300
Специалист технической поддержки (b2b),25000,39000,RUR,Пермь,2022-12-20T08:03:36+0300
Программист 1С,160000,,RUR,Санкт-Петербург,2022-12-20T08:10:05+0300
Инженер по планированию производства,,40000,RUR,Ростов-на-Дону,2022-12-20T08:24:41+0300
Senior PHP-разработчик,250000,300000,RUR,Москва,2022-12-20T08:40:40+0300
Токарь - расточник,80000,,RUR,Люберцы,2022-12-20T08:32:23+0300
Наладчик технологического оборудования,31000,32000,RUR,Бийск,2022-12-20T08:02:28+0300
Оператор лазерных установок,60000,,RUR,Ижевск,2022-12-20T08:13:44+0300
Оператор станка с ЧПУ,40000,,RUR,Ростов-на-Дону,2022-12-20T08:24:41+0300
Оператор на токарный станок с ЧПУ,,45000,RUR,Ростов-на-Дону,2022-12-20T08:24:41+0300
"Монтажник систем видеонаблюдения, сигнализации ОПС, СКС, СКД",43000,60000,RUR,Томск,2022-12-20T08:20:13+0300
Ведущий инженер-программист 1С (отраслевой контур),85000,,RUR,Тюмень,2022-12-20T08:42:30+0300
Фрезеровщик,,47500,RUR,Ростов-на-Дону,2022-12-20T08:24:41+0300
Middle Backend разработчик (Laravel),400000,700000,KZT,Алматы,2022-12-20T08:31:24+0300
Монтажник охранно-пожарной сигнализации,33000,,RUR,Сергиев Посад,2022-12-20T08:47:28+0300
Программист 1C,80000,,RUR,Санкт-Петербург,2022-12-20T08:39:48+0300
Сервисный инженер,60000,85000,RUR,Москва,2022-12-20T08:21:23+0300
"Инженер-программист/Разработчик встраиваемого ПО (embedded, ARM + RTOS)",150000,,RUR,Зеленоград,2022-12-20T08:46:16+0300
Наладчик ТПА и выдувных машин,50000,65000,RUR,Екатеринбург,2022-12-20T08:09:07+0300
Ведущий инженер-программист 1С (бухгалтерский контур),85000,,RUR,Тюмень,2022-12-20T08:42:31+0300
Senior Backend Developer (PHP),4000,,USD,Армения,2022-12-20T08:36:46+0300
Middle PHP Developer,120000,190000,RUR,Екатеринбург,2022-12-20T08:24:15+0300
Фрезеровщик 5-ого разряда,80000,,RUR,Жуковский,2022-12-20T08:32:24+0300
Менеджер по работе с проектами,70000,,RUR,Набережные Челны,2022-12-20T08:12:48+0300
Специалист по информационной безопасности,46000,75000,RUR,Новосибирск,2022-12-20T08:51:51+0300
Программист 1С ERP сектора автоматизации учета,,150000,RUR,Тюмень,2022-12-20T08:39:30+0300
Токарь,65000,,RUR,Череповец,2022-12-20T08:07:44+0300
Middle PHP Developer,120000,190000,RUR,Екатеринбург,2022-12-20T08:24:24+0300
Программист 1С Документооборот сектора автоматизации учета,,150000,RUR,Тюмень,2022-12-20T08:40:02+0300
Сотрудник поддержки поиска Яндекса,13000,33800,RUR,Новосибирск,2022-12-20T08:58:16+0300
Ведущий программист 1C,180000,250000,RUR,Москва,2022-12-20T08:54:38+0300
Программист 1C,120000,160000,RUR,Нижний Новгород,2022-12-20T08:00:09+0300
Графический дизайнер,45000,,RUR,Томск,2022-12-20T09:05:15+0300
Системный администратор,50000,,RUR,Орск,2022-12-20T09:38:45+0300
Заместитель начальника по строительству (прораб),,90000,RUR,Нижний Новгород,2022-12-20T09:33:23+0300
Руководитель отдела IT инфраструктуры,300000,500000,RUR,Москва,2022-12-20T09:40:20+0300
Региональный директор,2000,,USD,Ташкент,2022-12-20T09:45:10+0300
Руководитель службы ИТ,,90000,RUR,Тюмень,2022-12-20T09:44:32+0300
Графический дизайнер,55000,,RUR,Санкт-Петербург,2022-12-20T09:35:57+0300
Графический дизайнер,100000,200000,KZT,Петропавловск,2022-12-20T09:06:53+0300
Техник/Сервисный инженер,55000,80000,RUR,Воронеж,2022-12-20T09:16:39+0300
Главный механик,100000,,RUR,Москва,2022-12-20T09:37:22+0300
Инженер-программист,300000,300000,KZT,Алматы,2022-12-20T09:54:25+0300
Junior QA engineer (manual),2000,2200,USD,Тбилиси,2022-12-20T09:49:31+0300
Аналитик,70000,,RUR,Екатеринбург,2022-12-20T09:27:49+0300
Начальник ИТ-отдела,45000,,RUR,Пермь,2022-12-20T09:47:04+0300
Бизнес-аналитик,300000,400000,KZT,Алматы,2022-12-20T09:52:53+0300
Редактор в издательство детской литературы,55000,70000,RUR,Москва,2022-12-20T09:12:28+0300
Исполнительный директор,80000,300000,RUR,Санкт-Петербург,2022-12-20T09:02:41+0300
Тестировщик ПО,50000,,RUR,Томск,2022-12-20T09:15:24+0300
"Графический дизайнер (иллюстратор), удалённо",45000,,RUR,Иваново (Ивановская область),2022-12-20T09:15:40+0300
Системный администратор,65000,,RUR,Нижневартовск,2022-12-20T09:16:30+0300
Java разработчик (Strong junior),300,500,USD,Бишкек,2022-12-20T09:38:10+0300
Специалист поддержки в чатах и на почте,35000,60000,RUR,Воронеж,2022-12-20T09:47:21+0300
Специалист поддержки в чатах и на почте в Яндекс Директ (удаленно),35000,60000,RUR,Краснодар,2022-12-20T09:47:21+0300
Android developer,150000,,RUR,Пенза,2022-12-20T09:35:23+0300
Программист 1С (ученик),50000,130000,RUR,Владивосток,2022-12-20T09:51:22+0300
Специалист по защите информации,35000,45000,RUR,Оренбург,2022-12-20T09:54:08+0300
Программный разработчик,252000,272000,KZT,Алматы,2022-12-20T09:54:39+0300
"Специалист технической поддержки (1 линия, Service desk)",40000,,RUR,Новосибирск,2022-12-20T09:32:22+0300
Специалист технической поддержки (2 линия),90000,,RUR,Москва,2022-12-20T09:37:57+0300
BackEnd-разработчик,60000,100000,RUR,Пенза,2022-12-20T09:07:23+0300
Монтажник слаботочных систем,91200,,RUR,Санкт-Петербург,2022-12-20T09:52:53+0300
Инженер-электроник/инженер-наладчик,75000,,RUR,Казань,2022-12-20T09:45:18+0300
Учетчик,40000,50000,RUR,Москва,2022-12-20T09:56:37+0300
Руководитель IT проектов / IT Project manager / PM,60000,,RUR,Москва,2022-12-20T09:00:13+0300
Графический дизайнер,70000,,RUR,Москва,2022-12-20T09:04:45+0300
Ведущий инженер по защите информации,50000,70000,RUR,Уфа,2022-12-20T09:35:45+0300
Оператор автоматических и полуавтоматических линий станков и установок,60000,,RUR,Калининград,2022-12-20T09:58:31+0300
Специалист поддержки в чатах и на почте в Яндекс Директ (удаленно),35000,60000,RUR,Нижний Новгород,2022-12-20T09:47:21+0300
Системный администратор,30000,,RUR,Казань,2022-12-20T09:53:32+0300
Специалист технической поддержки,55000,,RUR,Москва,2022-12-20T09:18:34+0300
"Программист python, sql",,138000,RUR,Волгоград,2022-12-20T09:08:22+0300
Инженер по гарантии,50000,55000,RUR,Волгоград,2022-12-20T09:31:14+0300
Разработчик Webtutor,230000,,RUR,Москва,2022-12-20T09:56:48+0300
Специалист технической поддержки,25000,35000,KGS,Бишкек,2022-12-20T09:54:00+0300
Специалист поддержки в чатах и на почте в Яндекс Директ (удаленно),35000,60000,RUR,Волгоград,2022-12-20T09:47:21+0300
Специалист 1С (можно без опыта),30000,60000,RUR,Краснодар,2022-12-20T09:21:56+0300
Старший системный администратор,150000,150000,RUR,Москва,2022-12-20T09:30:04+0300
Графический дизайнер (Ассистент в отдел маркетинга),65000,,RUR,Москва,2022-12-20T09:37:59+0300
Руководитель отдела экспансии,100000,200000,RUR,Владикавказ,2022-12-20T09:38:01+0300
Разработчик Flutter,120000,,RUR,Санкт-Петербург,2022-12-20T09:42:43+0300
Аналитик,,78000,RUR,Краснодар,2022-12-20T09:07:49+0300
Оператор станков с ЧПУ (Фрезеровщик),70000,100000,RUR,Тюмень,2022-12-20T09:15:00+0300
Руководитель проекта/Менеджер по продажам,70000,200000,RUR,Санкт-Петербург,2022-12-20T09:59:55+0300
Контент-менеджер (копирайтер),40000,45000,RUR,Москва,2022-12-20T09:12:08+0300
Ведущий консультант ERP-систем,130000,130000,RUR,Кемерово,2022-12-20T09:52:26+0300
Инсталлятор,40000,80000,RUR,Сарапул,2022-12-20T09:21:12+0300
Технический директор,80000,,RUR,Екатеринбург,2022-12-20T09:52:00+0300
Токарь,50000,100000,RUR,Иваново (Ивановская область),2022-12-20T09:12:40+0300
Проектный менеджер,100000,,RUR,Москва,2022-12-20T09:57:44+0300
"Оператор, Удаленная работа",22000,33000,RUR,Смоленск,2022-12-20T09:45:32+0300
Системный администратор Linux\ DevOps (удаленка\ REMOTE),150000,,RUR,Москва,2022-12-20T09:09:12+0300
Токарь-универсал,170000,,RUR,Кемерово,2022-12-20T09:56:40+0300
Автор статей / Копирайтер / СЕО-копирайтер,40000,60000,RUR,Москва,2022-12-20T09:00:06+0300
Системный администратор,,90000,RUR,Южно-Сахалинск,2022-12-20T09:31:21+0300
DevOps инженер (облачные сервисы),120000,,RUR,Екатеринбург,2022-12-20T09:15:40+0300
Системный администратор,55000,,RUR,Москва,2022-12-20T09:45:12+0300
Сервисный инженер по обслуживанию спецтехники,90000,,RUR,Усть-Илимск,2022-12-20T09:48:09+0300
Инженер-программист АСУ ТП,,250000,KZT,Алматы,2022-12-20T09:18:51+0300
Техник комплексного технического обслуживания,36000,,RUR,Пенза,2022-12-20T09:19:57+0300
Cервисный инженер IT-оборудования магазинов «Пятёрочка»,43000,50000,RUR,Астрахань,2022-12-20T09:30:01+0300
Специалист по ремонту компьютерной техники,28000,36000,RUR,Саратов,2022-12-20T09:23:30+0300
Технический специалист,44000,,RUR,Волгоград,2022-12-20T09:15:40+0300
Системный администратор Windows,130000,,RUR,Москва,2022-12-20T09:27:18+0300
Механик,74000,74000,RUR,Санкт-Петербург,2022-12-20T09:15:55+0300
Оператор на сварочный робот с ЧПУ,60000,,RUR,Воронеж,2022-12-20T09:04:11+0300
Мастер слесарного цеха,75000,110000,RUR,Москва,2022-12-20T09:58:06+0300
Прораб,50000,80000,RUR,Кемерово,2022-12-20T09:58:31+0300
Оператор станков с ЧПУ4-5 разряда,60000,110000,RUR,Санкт-Петербург,2022-12-20T09:43:15+0300
Персональный ассистент руководителя,200000,,KZT,Петропавловск,2022-12-20T09:19:08+0300
Системный аналитик,180000,,RUR,Москва,2022-12-20T09:27:25+0300
Программист 1C,100000,130000,RUR,Находка,2022-12-20T09:52:46+0300
Специалист по обслуживанию базовых станций сотовой связи,,120000,RUR,Подольск (Московская область),2022-12-20T09:47:53+0300
Помощник системного администратора/инженера,,34000,RUR,Санкт-Петербург,2022-12-20T09:19:37+0300
Наладчик термопластавтоматов,70000,80000,RUR,Ульяновск,2022-12-20T09:47:07+0300
Слесарь-электрик по ремонту электрооборудования,60000,,RUR,Екатеринбург,2022-12-20T09:36:44+0300
Специалист предпечатной подготовки (prepress),65000,,RUR,Санкт-Петербург,2022-12-20T09:08:32+0300
Мастер по ремонту и обслуживанию холодильного оборудования,70000,90000,RUR,Симферополь,2022-12-20T09:28:15+0300
Оператор станков с ЧПУ,40000,,RUR,Челябинск,2022-12-20T09:08:15+0300
Главный механик,,180000,RUR,Наро-Фоминск,2022-12-20T09:29:55+0300
Монтажник дополнительного оборудования на автомобили,30000,60000,RUR,Краснокаменск,2022-12-20T09:44:00+0300
Junior QA engineer (manual),2000,2200,USD,Армения,2022-12-20T09:49:53+0300
Full stack разработчик,500000,1000000,KZT,Алматы,2022-12-20T09:24:31+0300
Специалист-консультант 1С,45000,100000,RUR,Сочи,2022-12-20T09:36:25+0300
Оператор станков с ЧПУ (газ/плазма),70000,,RUR,Санкт-Петербург,2022-12-20T09:27:13+0300
Сервисный инженер,80000,130000,RUR,Коломна,2022-12-20T09:01:57+0300
Оператор фрезерных станков с ПУ 5 разряда,70000,,RUR,Санкт-Петербург,2022-12-20T09:28:18+0300
Инженер слаботочных систем,90000,,RUR,Москва,2022-12-20T09:24:39+0300
Менеджер IT-проектов внедрения в Контур.Налоговый мониторинг,100000,160000,RUR,Екатеринбург,2022-12-20T09:46:02+0300
Помощник системного администратора в Yandex Cloud,54000,70200,RUR,Москва,2022-12-20T09:00:23+0300
Менеджер интернет-сайта (табачная продукция) в офис,70000,,RUR,Ростов-на-Дону,2022-12-20T09:22:48+0300
Главный специалист по технической поддержке,35000,,RUR,Симферополь,2022-12-20T09:40:29+0300
Техник по обслуживанию пожарной сигнализации (апс),40000,43000,RUR,Симферополь,2022-12-20T09:04:53+0300
Токарь,55000,,RUR,Челябинск,2022-12-20T09:08:06+0300
Токарь-универсал,110000,,RUR,Иркутск,2022-12-20T09:41:08+0300
Бизнес/Системный аналитик,140000,,RUR,Москва,2022-12-20T09:27:14+0300
Системотехник,,40000,RUR,Чайковский,2022-12-20T09:18:34+0300
Младший дизайнер,37500,62500,RUR,Москва,2022-12-20T09:48:03+0300
Оператор станка с ЧПУ,91000,,RUR,Ижевск,2022-12-20T09:18:20+0300
Специалист технической поддержки,,100000,RUR,Жуковский,2022-12-20T09:57:53+0300
Механик,120000,120000,RUR,Февральск (Амурская область),2022-12-20T09:58:29+0300
Наладчик термоформовочного оборудования,55000,60000,RUR,Запрудня (Московская область),2022-12-20T09:46:33+0300
Инженер-электронщик,90000,,RUR,Москва,2022-12-20T09:25:47+0300
Механик горного оборудования,50000,,RUR,Новотроицк (Оренбургская область),2022-12-20T09:37:50+0300
Шлифовщик,115000,135000,RUR,Ростов-на-Дону,2022-12-20T09:29:12+0300
Наладчик-программист фрезерных станков с ЧПУ,97000,127000,RUR,Москва,2022-12-20T09:34:06+0300
Оператор станков с ПУ 5 разряда,125000,,RUR,Москва,2022-12-20T09:09:47+0300
Оператор станков с ПУ,85000,,RUR,Красногорск,2022-12-20T09:15:58+0300
Помощник оператора станка плазменной резки (Ученик оператора),51000,73000,RUR,Ростов-на-Дону,2022-12-20T09:19:41+0300
Программист 1С / Разработчик 1C (Junior),70000,90000,RUR,Москва,2022-12-20T09:51:40+0300
Токарь-универсал,70000,100000,RUR,Санкт-Петербург,2022-12-20T09:43:45+0300
Помощник Системного администратора (1 линия поддержки пользователей ПО InfoApteka),45000,,RUR,Шахты,2022-12-20T09:51:52+0300
Слесарь механосборочных работ/шлифовщик,30000,60000,RUR,Рязань,2022-12-20T09:58:54+0300
Техник/без опыта,55000,,RUR,Казань,2022-12-20T09:11:16+0300
Менеджер проекта (строительство),,150000,RUR,Москва,2022-12-20T09:34:30+0300
Frontend разработчик в международную компанию (удаленно),1700,,USD,Москва,2022-12-20T09:15:02+0300
Механик горного оборудования,50000,,RUR,Орск,2022-12-20T09:37:50+0300
Инженер-электроник,60000,,RUR,Дзержинск (Нижегородская область),2022-12-20T09:31:45+0300
Токарь,45000,60000,RUR,Ростов-на-Дону,2022-12-20T09:19:18+0300
Графический дизайнер / верстальщик,100000,,RUR,Москва,2022-12-20T09:39:22+0300
Шлифовщик,115000,135000,RUR,Екатеринбург,2022-12-20T09:30:24+0300
Аналитик бизнес-процессов,40000,,RUR,Новосибирск,2022-12-20T09:57:00+0300
Копирайтер с навыками SEO и прототипирования,50000,,RUR,Уфа,2022-12-20T09:14:59+0300
Оператор станка с ЧПУ,91000,,RUR,Чебоксары,2022-12-20T09:18:20+0300
Техник-программист,,20500,RUR,Саранск,2022-12-20T09:53:38+0300
Системный администратор,100000,,RUR,Красногорск,2022-12-20T09:06:12+0300
Программист C# (Middle),100000,,RUR,Москва,2022-12-20T09:13:01+0300
Наладчик термопластавтоматов,70000,80000,RUR,Набережные Челны,2022-12-20T09:45:32+0300
Системный администратор (разъездная работа),80000,,RUR,Санкт-Петербург,2022-12-20T09:08:16+0300
Data scientist / ML разработчик,70000,,RUR,Томск,2022-12-20T09:15:16+0300
Фрезеровщик,85000,,RUR,Верхняя Салда,2022-12-20T09:39:18+0300
Ночной консультант технической поддержки,18000,45000,RUR,Москва,2022-12-20T09:02:03+0300
Фрезеровщик,85000,,RUR,Пермь,2022-12-20T09:39:18+0300
Машинист экструдера (ученик),1200,,BYR,Минск,2022-12-20T09:38:52+0300
Фрезеровщик,85000,,RUR,Екатеринбург,2022-12-20T09:39:18+0300
Ученик токаря-расточника,,30000,RUR,Тула,2022-12-20T09:06:55+0300
Оператор координатно-пробивного пресса с ЧПУ,73000,,RUR,Санкт-Петербург,2022-12-20T09:09:32+0300
.NET Developer,80000,160000,RUR,Томск,2022-12-20T09:15:00+0300
Оператор станков с ПУ,70000,90000,RUR,Зеленоград,2022-12-20T09:02:11+0300
Системный администратор,50000,60000,RUR,Хабаровск,2022-12-20T09:06:02+0300
Модератор Каталога товаров работ и услуг,300000,,KZT,Астана,2022-12-20T09:45:05+0300
ИТ-инженер / Сервисный инженер,18000,27000,RUR,Казань,2022-12-20T09:13:17+0300
Оператор станка с ЧПУ,91000,,RUR,Киров (Кировская область),2022-12-20T09:18:20+0300
Аналитик Data Science (консультант),15,20,USD,Москва,2022-12-20T09:18:27+0300
Специалист по наладке и техническому сопровождению,230000,300000,KZT,Караганда,2022-12-20T09:49:43+0300
Ведущий инженер-программист,60000,,RUR,Хабаровск,2022-12-20T09:10:51+0300
Специалист технической поддержки 1С (первая линия),50000,,RUR,Москва,2022-12-20T09:18:39+0300
Руководитель проекта IT по цифровизации на производство,250000,300000,RUR,Москва,2022-12-20T09:59:07+0300
Сервисный инженер,45000,,RUR,Кропоткин,2022-12-20T09:12:47+0300
Программист 1С/Аналитик-консультант 1С,120000,130000,RUR,Санкт-Петербург,2022-12-20T09:58:55+0300
Дизайнер интерьера,100000,500000,KZT,Астана,2022-12-20T09:56:27+0300
Механик,55000,,RUR,Чехов,2022-12-20T09:58:47+0300
Токарь,108000,,RUR,Рязань,2022-12-20T09:24:38+0300
Сервисный инженер / техник (механик),50000,70000,RUR,Мурманск,2022-12-20T09:55:47+0300
Scrum-мастер (менеджер проектов)/Системный аналитик,130000,,RUR,Ногинск,2022-12-20T09:39:52+0300
Токарь,105000,,RUR,Верхняя Салда,2022-12-20T09:38:50+0300
Токарь,105000,,RUR,Пермь,2022-12-20T09:38:50+0300
Токарь,45000,60000,RUR,Аксай (Ростовская область),2022-12-20T09:19:21+0300
Кабельщик-спайщик,,25000,RUR,Плавск,2022-12-20T09:57:09+0300
Оператор станков с ЧПУ,35000,45000,RUR,Киров (Кировская область),2022-12-20T09:02:59+0300
Механик участка (Ямал),120000,120000,RUR,Самара,2022-12-20T09:05:49+0300
Сервис-инженер торгового оборудования (IT-компания),39000,,RUR,Ижевск,2022-12-20T09:10:03+0300
Помощник системного администратора в Yandex Cloud,54000,70200,RUR,Санкт-Петербург,2022-12-20T09:00:26+0300
Сервисный инженер,70000,100000,RUR,Мытищи,2022-12-20T09:07:43+0300
Оператор-наладчик станков с ЧПУ/Токарь (в г.Солнечногорске),120000,160000,RUR,Солнечногорск,2022-12-20T09:43:44+0300
Менеджер проекта,400000,,KZT,Алматы,2022-12-20T09:42:58+0300
PHP-программист,80000,125000,RUR,Владивосток,2022-12-20T09:36:47+0300
Помощник печатника и фрезеровщика,18000,24000,RUR,Тольятти,2022-12-20T09:58:54+0300
Штамповщик-наладчик,47000,,RUR,Рязань,2022-12-20T09:22:16+0300
Специалист технической поддержки (Руднёво),,100000,RUR,Москва,2022-12-20T09:57:56+0300
Системный администратор,43000,50000,RUR,Самара,2022-12-20T09:29:28+0300
Мастер-консультант механического цеха,50000,80000,RUR,Волжский (Волгоградская область),2022-12-20T09:27:45+0300
Механик горного оборудования,50000,,RUR,Медногорск,2022-12-20T09:37:50+0300
Токарь,108000,,RUR,Воронеж,2022-12-20T09:24:38+0300
Сборщик наладчик аппаратов и приборов,80000,,RUR,Москва,2022-12-20T09:41:11+0300
Фрезеровщик,85000,,RUR,Тюмень,2022-12-20T09:39:18+0300
Токарь-расточник,50000,55000,RUR,Владимир,2022-12-20T09:38:48+0300
Слесарь по ремонту,60000,124000,RUR,Москва,2022-12-20T09:57:51+0300
Оператор станков с ЧПУ (листогибочные станки),50000,,RUR,Санкт-Петербург,2022-12-20T09:27:47+0300
Менеджер по продукту,150000,,RUR,Москва,2022-12-20T09:48:44+0300
Станочник металлообрабатывающих станков (на прокат и пресс),50000,,RUR,Нижний Новгород,2022-12-20T09:26:45+0300
Специалист по развитию проекта (менеджер по продукту),60000,,RUR,Екатеринбург,2022-12-20T09:02:07+0300
Техник абонентской службы,31300,,RUR,Челябинск,2022-12-20T09:46:11+0300
Менеджер по управлению проектами,75000,,RUR,Казань,2022-12-20T09:48:53+0300
Электромеханик по лифтам и эскалаторам,35000,45000,RUR,Москва,2022-12-20T09:37:22+0300
Системный администратор,35000,41500,RUR,Саратов,2022-12-20T09:23:27+0300
Системный администратор,,50000,RUR,Казань,2022-12-20T09:30:45+0300
Мастер цеха,250000,300000,KZT,Астана,2022-12-20T09:52:18+0300
Системный администратор,,82000,RUR,Москва,2022-12-20T09:23:00+0300
Дизайнер-верстальщик,180000,200000,KZT,Астана,2022-12-20T09:50:49+0300
Системный администратор,30000,35000,RUR,Обь,2022-12-20T09:35:03+0300
Специалист отдела технической поддержки,100000,180000,KZT,Алматы,2022-12-20T09:43:08+0300
Системный администратор,45000,,RUR,Нестеров,2022-12-20T09:17:50+0300
Фрезеровщик,85000,,RUR,Нижний Тагил,2022-12-20T09:39:18+0300
Системный администратор,55000,75000,RUR,Петропавловск-Камчатский,2022-12-20T09:32:00+0300
Токарь,105000,,RUR,Нижний Тагил,2022-12-20T09:38:50+0300
Оператора станков с программным управлением 3 разряд,60000,70000,RUR,Санкт-Петербург,2022-12-20T09:20:25+0300
Инженер-технолог-программист/инженер-наладчик,80000,120000,RUR,Санкт-Петербург,2022-12-20T09:54:23+0300
Шлифовщик,115000,135000,RUR,Тула,2022-12-20T09:33:18+0300
Менеджер по работе с маркетплейсами,40000,,RUR,Нижний Новгород,2022-12-20T09:05:23+0300
Системный администратор,45000,,RUR,Гусев,2022-12-20T09:17:43+0300
Ведущий специалист по защите информации,85000,120000,RUR,Санкт-Петербург,2022-12-20T09:13:34+0300
Фрезеровщик,85000,,RUR,Уфа,2022-12-20T09:39:18+0300
Графический дизайнер / креативный дизайнер,60000,,RUR,Москва,2022-12-20T09:31:35+0300
Токарь,108000,,RUR,Ульяновск,2022-12-20T09:24:38+0300
Замерщик входных и межкомнатных дверей,150000,,KZT,Усть-Каменогорск,2022-12-20T09:52:34+0300
Оператор станка с ЧПУ,91000,,RUR,Нижний Новгород,2022-12-20T09:18:20+0300
Оператор станка с ЧПУ,91000,,RUR,Тольятти,2022-12-20T09:18:20+0300
Аналитик 1С:ERP (направление Разработка и сопровождение 1С),138000,,RUR,Санкт-Петербург,2022-12-20T09:33:45+0300
Инженер по экологической безопасности (проектирование),30000,70000,RUR,Тюмень,2022-12-20T09:31:48+0300
Оператор станка с ЧПУ,60000,,RUR,Подольск (Московская область),2022-12-20T09:34:48+0300
Оператор-наладчик токарных станков с ЧПУ,80000,,RUR,Москва,2022-12-20T09:39:53+0300
Сервисный механик лесозаготовительной техники PONSSE,50000,130000,RUR,Усть-Илимск,2022-12-20T09:42:31+0300
Инженер-механик/конструктор,2000,,BYR,Минск,2022-12-20T09:24:25+0300
Шлифовщик,115000,135000,RUR,Нижний Новгород,2022-12-20T09:28:13+0300
Токарь,60000,70000,RUR,Белгород,2022-12-20T09:48:37+0300
Художник-оформитель,25000,25000,RUR,Самара,2022-12-20T09:24:23+0300
Токарь,105000,,RUR,Екатеринбург,2022-12-20T09:38:50+0300
Инженер по пультовой охране,35000,,RUR,Майкоп,2022-12-20T09:49:22+0300
Руководитель направления по информационной безопасности,135000,,RUR,Москва,2022-12-20T09:58:17+0300
Инженер по видеонаблюдению и СКУД,,100000,RUR,Химки,2022-12-20T09:23:36+0300
Монтажник радиоэлектронной аппаратуры и приборов 5 разряда,70000,81000,RUR,Москва,2022-12-20T09:40:23+0300
Токарь,108000,,RUR,Саратов,2022-12-20T09:24:38+0300
Токарь,108000,,RUR,Калуга,2022-12-20T09:24:38+0300
Экономист-аналитик,40000,50000,RUR,Киров (Кировская область),2022-12-20T09:03:19+0300
Оператор-наладчик станков с ЧПУ,50000,,RUR,Дзержинск (Нижегородская область),2022-12-20T09:25:44+0300
Токарь,108000,,RUR,Тверь,2022-12-20T09:24:38+0300
Сервисный инженер,45000,60000,RUR,Набережные Челны,2022-12-20T09:36:26+0300
Разработчик 1С,99800,112200,RUR,Санкт-Петербург,2022-12-20T09:46:29+0300
Системный администратор,35000,,RUR,Барнаул,2022-12-20T09:26:31+0300
Токарь (4 разряд),55000,,RUR,Волжский (Волгоградская область),2022-12-20T09:23:21+0300
Главный механик,,180000,RUR,Павловский Посад,2022-12-20T09:33:32+0300
Специалист по описанию бизнес-процессов,35000,,RUR,Красноярск,2022-12-20T09:16:45+0300
Наладчик станков с ЧПУ,70000,,RUR,Челябинск,2022-12-20T09:07:59+0300
Токарь-универсал,40000,80000,RUR,Вахруши,2022-12-20T09:36:50+0300
Бизнес-аналитик / системный аналитик,50000,,RUR,Челябинск,2022-12-20T09:04:04+0300
Java разработчик (Middle),700,1500,USD,Бишкек,2022-12-20T09:15:57+0300
Электрик-механик,,300000,KZT,Астана,2022-12-20T09:52:22+0300
Ночной консультант технической поддержки,18000,45000,RUR,Новосибирск,2022-12-20T09:01:59+0300
Контент-менеджер на маркетплейс,70000,,RUR,Балашиха,2022-12-20T09:36:25+0300
Сборщица/сборщик РЭА и приборов,1000,,BYR,Минск,2022-12-20T09:02:18+0300
Радиоинженер (тестирование РЭА),80000,,RUR,Москва,2022-12-20T09:25:06+0300
Эксперт фрод-мониторинга (в банк),,200000,RUR,Москва,2022-12-20T09:59:21+0300
Сервисный инженер по обслуживанию спецтехники,90000,,RUR,Братск,2022-12-20T09:40:07+0300
Бизнес-аналитик,40000,,RUR,Уфа,2022-12-20T09:36:19+0300
Оператор станков с программным управлением,44000,56000,RUR,Пермь,2022-12-20T09:40:50+0300
Консультант по типовым версиям 1С-стажер,20000,60000,RUR,Кемерово,2022-12-20T09:40:28+0300
Старший механик по ремонту автомобилей,50000,50000,RUR,Смоленск,2022-12-20T09:04:55+0300
Специалист технической поддержки,25000,35000,RUR,Красноярск,2022-12-20T09:48:09+0300
Инженер отдела технической поддержки,65000,,RUR,Томск,2022-12-20T09:15:07+0300
Сервисный инженер,80000,100000,RUR,Видное,2022-12-20T09:36:24+0300
Дизайнер,22500,30000,RUR,Саратов,2022-12-20T09:23:31+0300
Токарь-карусельщик,55000,,RUR,Москва,2022-12-20T09:45:27+0300
Руководитель отдела IT и информационной безопасности,150000,,RUR,Москва,2022-12-20T09:30:45+0300
Инженер по гарантии,,120000,RUR,Москва,2022-12-20T09:35:34+0300
Механик по выпуску автотранспорта,50000,,RUR,Москва,2022-12-20T09:43:51+0300
Специалист отдела сопровождения,40000,,RUR,Красноярск,2022-12-20T09:38:40+0300
